EVENT_NO_TRIP,EVENT_NO_STOP,OPD_DATE,VEHICLE_ID,METERS,ACT_TIME,GPS_LONGITUDE,GPS_LATITUDE,GPS_SATELLITES,GPS_HDOP
259173279,259173358,15FEB2023:00:00:00,4223,195975,71784,-122.677672,45.529657,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196011,71789,-122.677507,45.529928,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196065,71794,-122.677002,45.530237,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196130,71799,-122.676342,45.530582,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196197,71804,-122.675643,45.530947,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196262,71809,-122.674968,45.531305,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196312,71814,-122.674317,45.53165,12,0.8
259173279,259173358,15FEB2023:00:00:00,4223,196384,71819,-122.673707,45.531992,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196435,71824,-122.673078,45.532352,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196501,71829,-122.672415,45.532735,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196584,71834,-122.671695,45.53311,12,0.8
259173279,259173358,15FEB2023:00:00:00,4223,196637,71839,-122.670983,45.533472,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196716,71844,-122.670322,45.533842,12,0.7
259173279,259173358,15FEB2023:00:00:00,4223,196767,71849,-122.669688,45.534212,12,0.7
259173279,259173359,15FEB2023:00:00:00,4223,196825,71854,-122.66896,45.534358,12,0.7
259173279,259173359,15FEB2023:00:00:00,4223,196885,71859,-122.668212,45.534367,12,0.8
259173279,259173359,15FEB2023:00:00:00,4223,196907,71864,-122.667928,45.534367,12,0.7
259173279,259173360,15FEB2023:00:00:00,4223,196931,71914,-122.667607,45.534367,12,0.7
259173279,259173360,15FEB2023:00:00:00,4223,196970,71919,-122.66711,45.534358,12,0.7
259173279,259173360,15FEB2023:00:00:00,4223,196980,71924,-122.666982,45.534348,12,0.7
259173279,259173361,15FEB2023:00:00:00,4223,197051,71969,-122.66605,45.534355,12,0.7
259173279,259173361,15FEB2023:00:00:00,4223,197085,71974,-122.665617,45.534353,12,0.7
259173279,259173361,15FEB2023:00:00:00,4223,197133,71979,-122.664992,45.534353,12,0.7
259173279,259173361,15FEB2023:00:00:00,4223,197183,71984,-122.664342,45.534323,12,0.7
259173279,259173361,15FEB2023:00:00:00,4223,197216,71989,-122.663918,45.534303,12,0.7
259173279,259173363,15FEB2023:00:00:00,4223,197289,72014,-122.662977,45.534343,12,0.7
259173279,259173363,15FEB2023:00:00:00,4223,197350,72019,-122.662188,45.534338,12,0.7
259173279,259173363,15FEB2023:00:00:00,4223,197408,72024,-122.66143,45.534332,12,0.7
259173279,259173363,15FEB2023:00:00:00,4223,197468,72029,-122.660662,45.534333,12,0.7
259173279,259173364,15FEB2023:00:00:00,4223,197526,72034,-122.659917,45.534333,12,0.7
259173279,259173364,15FEB2023:00:00:00,4223,197580,72039,-122.659218,45.534332,12,0.7
259172710,259172760,15FEB2023:00:00:00,4223,58531,34059,-122.677697,45.519155,12,0.7
259172710,259172760,15FEB2023:00:00:00,4223,58553,34064,-122.677798,45.518993,12,0.8
259172710,259172760,15FEB2023:00:00:00,4223,58585,34069,-122.677933,45.518712,12,0.8
259172710,259172760,15FEB2023:00:00:00,4223,58606,34074,-122.678027,45.518512,12,0.7
259172710,259172760,15FEB2023:00:00:00,4223,58618,34079,-122.678078,45.518418,12,0.7
259172710,259172760,15FEB2023:00:00:00,4223,58649,34084,-122.678232,45.518162,12,0.8
259172710,259172760,15FEB2023:00:00:00,4223,58679,34089,-122.678403,45.517902,11,0.8
259172710,259172761,15FEB2023:00:00:00,4223,58739,34214,-122.678628,45.517387,12,0.9
259172710,259172761,15FEB2023:00:00:00,4223,58771,34219,-122.678767,45.517128,12,0.9
259172710,259172761,15FEB2023:00:00:00,4223,58809,34224,-122.678933,45.516803,10,1.1
259172710,259172761,15FEB2023:00:00:00,4223,58844,34229,-122.679093,45.516505,12,1.2
259172710,259172761,15FEB2023:00:00:00,4223,58880,34234,-122.679253,45.516197,12,1
259172710,259172761,15FEB2023:00:00:00,4223,58924,34239,-122.679452,45.51583,12,1.2
259172710,259172761,15FEB2023:00:00:00,4223,58967,34244,-122.67964,45.515455,11,0.8
259172710,259172761,15FEB2023:00:00:00,4223,59003,34249,-122.679812,45.51515,11,0.8
259172710,259172761,15FEB2023:00:00:00,4223,59033,34254,-122.680012,45.514842,10,0.8
259172710,259172761,15FEB2023:00:00:00,4223,59071,34259,-122.680185,45.51457,12,0.9
259172710,259172762,15FEB2023:00:00:00,4223,59137,34339,-122.680408,45.513957,12,1
259172710,259172762,15FEB2023:00:00:00,4223,59152,34344,-122.680475,45.513822,12,0.7
259172710,259172762,15FEB2023:00:00:00,4223,59185,34349,-122.680637,45.513548,12,1
259172710,259172762,15FEB2023:00:00:00,4223,59231,34354,-122.680842,45.51315,10,0.9
259172710,259172762,15FEB2023:00:00:00,4223,59285,34359,-122.68106,45.512683,12,0.8
259172710,259172762,15FEB2023:00:00:00,4223,59335,34364,-122.681262,45.512253,12,0.7
259172710,259172762,15FEB2023:00:00:00,4223,59371,34369,-122.681418,45.511942,12,1.4
259172710,259172762,15FEB2023:00:00:00,4223,59392,34374,-122.6815,45.51176,11,1.4
259172710,259172762,15FEB2023:00:00:00,4223,59393,34378,-122.681502,45.51175,12,0.9
259172710,259172762,15FEB2023:00:00:00,4223,59393,34379,-122.681502,45.51175,12,0.9
259172710,259172762,15FEB2023:00:00:00,4223,59393,34382,-122.681502,45.51175,12,1
259172710,259172762,15FEB2023:00:00:00,4223,59396,34384,-122.68151,45.511723,12,1.4
259172710,259172762,15FEB2023:00:00:00,4223,59424,34389,-122.681665,45.511492,12,0.7
259172710,259172762,15FEB2023:00:00:00,4223,59450,34394,-122.68182,45.511283,12,1.7
259172710,259172762,15FEB2023:00:00:00,4223,59467,34399,-122.681895,45.511143,12,1.4
259172710,259172763,15FEB2023:00:00:00,4223,59536,34459,-122.682132,45.510543,12,0.9
259172710,259172763,15FEB2023:00:00:00,4223,59576,34464,-122.682308,45.510198,12,0.8
259172710,259172763,15FEB2023:00:00:00,4223,59617,34469,-122.6825,45.509847,12,1.5
259172710,259172763,15FEB2023:00:00:00,4223,59651,34474,-122.682635,45.509558,12,0.7
259172710,259172763,15FEB2023:00:00:00,4223,59677,34479,-122.682762,45.509333,12,0.9
259172710,259172763,15FEB2023:00:00:00,4223,59699,34484,-122.68286,45.509148,10,1.3
259172710,259172763,15FEB2023:00:00:00,4223,59727,34489,-122.682962,45.50891,12,1
259172710,259172763,15FEB2023:00:00:00,4223,59771,34494,-122.683058,45.50852,12,0.8
259172710,259172763,15FEB2023:00:00:00,4223,59810,34499,-122.68308,45.508162,12,0.8
259172710,259172763,15FEB2023:00:00:00,4223,59835,34504,-122.682852,45.507978,12,0.7
259172710,259172763,15FEB2023:00:00:00,4223,59876,34509,-122.68232,45.507977,11,0.9
259172710,259172763,15FEB2023:00:00:00,4223,59920,34514,-122.681768,45.507932,12,0.9
259172710,259172763,15FEB2023:00:00:00,4223,59967,34519,-122.68116,45.507862,12,0.7
259172710,259172763,15FEB2023:00:00:00,4223,60005,34524,-122.680658,45.507832,12,0.9
259172710,259172763,15FEB2023:00:00:00,4223,60024,34529,-122.680397,45.507827,12,0.8
259172710,259172763,15FEB2023:00:00:00,4223,60026,34534,-122.680367,45.50783,12,0.7
259172710,259172763,15FEB2023:00:00:00,4223,60026,34539,-122.680367,45.50783,12,0.8
259172710,259172763,15FEB2023:00:00:00,4223,60047,34544,-122.68011,45.50783,12,0.7
259172710,259172763,15FEB2023:00:00:00,4223,60086,34549,-122.679603,45.507863,12,0.8
259172710,259172764,15FEB2023:00:00:00,4223,60111,34554,-122.679272,45.507885,11,0.8
259172710,259172764,15FEB2023:00:00:00,4223,60140,34559,-122.67891,45.507908,12,0.8
259172710,259172764,15FEB2023:00:00:00,4223,60179,34564,-122.678407,45.50794,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60205,34569,-122.678058,45.507947,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60229,34574,-122.677748,45.50795,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60269,34579,-122.677248,45.507975,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60320,34584,-122.67659,45.507967,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60373,34589,-122.675952,45.507792,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60428,34594,-122.675565,45.507383,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60492,34599,-122.675397,45.506827,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60559,34604,-122.675147,45.50624,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60628,34609,-122.674765,45.50568,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60696,34614,-122.674248,45.505175,12,0.8
259172710,259172764,15FEB2023:00:00:00,4223,60759,34619,-122.673895,45.504657,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,60823,34624,-122.673585,45.504113,12,0.9
259172710,259172764,15FEB2023:00:00:00,4223,60884,34629,-122.673325,45.503583,12,1.1
259172710,259172764,15FEB2023:00:00:00,4223,60942,34634,-122.673082,45.503087,12,0.8
259172710,259172764,15FEB2023:00:00:00,4223,60985,34639,-122.672883,45.502697,12,0.9
259172710,259172764,15FEB2023:00:00:00,4223,61000,34644,-122.672765,45.502567,12,0.9
259172710,259172764,15FEB2023:00:00:00,4223,61015,34649,-122.672632,45.502483,11,0.9
259172710,259172764,15FEB2023:00:00:00,4223,61047,34654,-122.672208,45.502427,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,61085,34659,-122.67178,45.502558,12,0.8
259172710,259172764,15FEB2023:00:00:00,4223,61124,34664,-122.671318,45.5027,12,0.7
259172710,259172764,15FEB2023:00:00:00,4223,61146,34669,-122.671025,45.502793,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61211,34739,-122.670313,45.50298,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61262,34744,-122.669727,45.503172,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61320,34749,-122.669178,45.503512,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61374,34754,-122.668667,45.503852,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61431,34759,-122.668132,45.504208,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61492,34764,-122.667562,45.504582,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61550,34769,-122.667007,45.50494,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61607,34774,-122.666463,45.505293,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61663,34779,-122.665925,45.505642,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61720,34784,-122.665382,45.505992,12,0.8
259172710,259172765,15FEB2023:00:00:00,4223,61769,34789,-122.664902,45.506303,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61813,34797,-122.664437,45.506527,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61846,34802,-122.66397,45.506555,12,0.7
259172710,259172765,15FEB2023:00:00:00,4223,61860,34807,-122.66376,45.50655,12,0.7
259172710,259172806,15FEB2023:00:00:00,4223,70171,36131,-122.574917,45.490218,12,0.7
259172710,259172806,15FEB2023:00:00:00,4223,70228,36135,-122.574185,45.490165,12,0.7
259172710,259172806,15FEB2023:00:00:00,4223,70300,36141,-122.57326,45.490133,12,0.7
259172710,259172806,15FEB2023:00:00:00,4223,70377,36147,-122.572262,45.490107,12,0.7
259172710,259172807,15FEB2023:00:00:00,4223,70521,36158,-122.570402,45.490058,12,0.7
259172710,259172807,15FEB2023:00:00:00,4223,70575,36163,-122.569702,45.490043,12,0.7
259172710,259172807,15FEB2023:00:00:00,4223,70609,36168,-122.56926,45.490035,12,0.7
259172710,259172807,15FEB2023:00:00:00,4223,70629,36173,-122.568998,45.490028,12,0.7
259172710,259172808,15FEB2023:00:00:00,4223,70635,36214,-122.568918,45.490028,12,0.7
259172710,259172808,15FEB2023:00:00:00,4223,70661,36219,-122.568587,45.490022,12,0.7
259172710,259172808,15FEB2023:00:00:00,4223,70711,36224,-122.567945,45.490002,12,0.7
259172710,259172808,15FEB2023:00:00:00,4223,70764,36229,-122.567258,45.489968,12,0.7
259172710,259172808,15FEB2023:00:00:00,4223,70792,36234,-122.566892,45.489933,12,0.7
259172710,259172809,15FEB2023:00:00:00,4223,70842,36254,-122.566265,45.489947,12,0.7
259172710,259172809,15FEB2023:00:00:00,4223,70903,36259,-122.565488,45.489942,12,0.7
259172710,259172809,15FEB2023:00:00:00,4223,70974,36264,-122.564583,45.489922,12,0.7
259172710,259172809,15FEB2023:00:00:00,4223,71044,36269,-122.56367,45.489903,12,0.7
259172710,259172810,15FEB2023:00:00:00,4223,71187,36279,-122.561835,45.48986,12,0.7
259172710,259172810,15FEB2023:00:00:00,4223,71259,36284,-122.560903,45.489827,12,0.7
259172710,259172811,15FEB2023:00:00:00,4223,71333,36289,-122.559953,45.489818,12,0.7
259172710,259172811,15FEB2023:00:00:00,4223,71402,36294,-122.55905,45.489798,12,0.7
